id,state,company,company_canonical,company_dba,location,employees_affected,notice_date,effective_date,notice_type,first_seen
cc4067816cbf20a9,CO,Mission Foods,Mission Foods,,Pueblo (Rural Alliance),90,2026-08-14,2026-10-13,Closure,2026-08-31T07:22:39.223872Z
e40b38714f86bb8f,CO,Battelle,Battelle,,Pueblo,1,2026-08-13,2026-10-12,PCAPP Milestone Project Completions,2026-08-31T07:22:39.223872Z
abc12cbe7b3c8645,CO,Battelle,Battelle,,Pueblo,12,2026-08-06,2026-10-05,PCAPP Milestone Project Completions,2026-08-31T07:22:39.223872Z
fea46ca457d86842,CO,NR ParentCO dba Native Roots,NR ParentCO,Native Roots,Denver,141,2026-08-03,2026-10-02,Closure,2026-08-31T07:22:39.223872Z
00ec8de2c75749df,CO,80 Acres Urban Agriculture dba 80 Acres Farms,80 Acres Urban Agriculture,80 Acres Farms,Denver/Adams,60,2026-08-03,2026-08-03,Closure,2026-08-31T07:22:39.223872Z
891807445dbdf2a6,CO,TIAA,TIAA,,Denver,20,2026-07-31,2026-10-01,Closure,2026-08-31T07:22:39.223872Z
7db9f9010226d643,CO,Tlingt Haida,Tlingt Haida,,Pikes Peak/El Paso,295,2026-07-29,2026-09-28,Expiration of Contract,2026-08-31T07:22:39.223872Z
d75985d99fe7b09c,CO,Public Storage Correction to 7/22/26 WARN,Public Storage Correction to 7/22/26 WARN,,Arapahoe/Douglas,68,2026-07-24,2026-07-22,Mass Layoff,2026-08-31T07:22:39.223872Z
24236ca25551ea7d,CO,Public Storage,Public Storage,,Arapahoe/Douglas,107,2026-07-22,2026-07-22,Mass Layoff,2026-08-31T07:22:39.223872Z
592b21a791e0781c,CO,Travelport LP,Travelport,,Denver,48,2026-07-21,2026-07-22,Mass Layoff,2026-08-31T07:22:39.223872Z
825a9aaadcc9acef,CO,EPTAM West LLC dba EPTAM Metals,EPTAM West,EPTAM Metals,Pikes Peak,52,2026-07-20,2026-03-16,Closure,2026-08-31T07:22:39.223872Z
3c77a51825107da5,CO,The Cannabist Company,Cannabist,,Denver,50,2026-07-14,2026-09-11,Closure,2026-08-31T07:22:39.223872Z
6f0a2cad6e99c9dd,CO,PetVet Operating,PetVet Operating,,Larimer,8,2026-07-10,2026-09-08,Closure,2026-08-31T07:22:39.223872Z
79c244a695def5e4,CO,Battelle,Battelle,,Rural Alliance: Pueblo,18,2026-07-09,2026-09-08,PCAPP Milestone Project Completions,2026-08-31T07:22:39.223872Z
feb8d6481bbd5240,CO,Conduent,Conduent,,Remote Employees,5,2026-06-26,2026-07-31,Change in business needs,2026-08-31T07:22:39.223872Z
b341f7894bd56ff0,CO,Battelle,Battelle,,Pueblo,1,2026-06-11,2026-08-10,PCAPP Milestone Project Completions,2026-08-31T07:22:39.223872Z
0b963c66491fede6,CO,Paragon Space Development Corp,Paragon Space Development,,Jeffco (Tri-County),15,2026-06-11,2026-06-11,Mass layoff in connection with contract loss,2026-08-31T07:22:39.223872Z
bfeb35f15fc234aa,CO,CAE,CAE,,Pueblo,58,2026-06-01,2026-08-03,Closure,2026-08-31T07:22:39.223872Z
e0277896cffff52d,CO,Accel,Accel,,Pikes Peak/El Paso,246,2026-04-30,2026-06-30,Banning Lewis Prepatory Academy terminating relationship with Accel,2026-08-31T07:22:39.223872Z
8b784f1a75b7adc9,CO,Aurora Mental Health & Recovery,Aurora Mental Health & Recovery,,A/D Works (Arapahoe),91,2026-04-30,2026-06-30,Mass Layoff,2026-08-31T07:22:39.223872Z
1dfd4770705bfafe,CO,Battelle,Battelle,,"Rural Alliance, Pueblo",10,2026-04-30,2026-06-29,PCAPP Milestone Project Completions,2026-08-31T07:22:39.223872Z
3c0b7455c786e291,CO,TIAA - Update,TIAA - Update,,"Denver, RC",110,2026-04-29,2026-07-01,Mass Layoff,2026-08-31T07:22:39.223872Z
19ddc5e79e736095,CO,Battelle,Battelle,,Rural Alliance: Pueblo,5,2026-04-23,2026-06-22,Completion of Contractual Milestone,2026-08-31T07:22:39.223872Z
bc3dfa5f087698d5,CO,Republic National Distributing Company LLC (RNDC),Republic National Distributing Company LLC (RNDC),,ADW (Littleton),320,2026-04-22,2026-06-21,Selling assets in CO and other states,2026-08-31T07:22:39.223872Z
f93c199d7ef23e91,CO,PNC Bank NA,PNC Bank,,Jeffco (Tri-County),777,2026-04-17,2026-06-30,Consolidating operations into single organization,2026-08-31T07:22:39.223872Z
982e1bd895da14d4,CO,Tendit Group LLC,Tendit Group,,"Denver, ADW, Larimer",143,2026-04-13,2026-04-15,Closure,2026-08-31T07:22:39.223872Z
1ab935c2f7a63dd5,CO,T-Mobile,T-Mobile,,Denver,51,2026-04-10,2026-06-08,Business Sales Care no longer operating at the facility. Not a closure.,2026-08-31T07:22:39.223872Z
afe41a5e37ca1103,CO,Battelle,Battelle,,Pueblo,21,2026-04-09,2026-06-08,Project Milestone Completion,2026-08-31T07:22:39.223872Z
